employee_id,employee_name,position,department,hire_date,employment_status,store_id,hourly_rate,manager_id
323,Brandon Jordan,Assistant Manager,Grocery,2020-09-18,Seasonal,46,22.04,46.0
324,Amanda Holder,Maintenance,Maintenance,2023-05-16,Full-time,38,11.08,38.0
325,Tamara Walsh,Customer Service,Customer Service,2024-06-26,Temporary,5,19.11,5.0
326,Mr. Christopher Parrish DDS,Stocker,Home Goods,2022-05-08,Part-time,48,17.58,48.0
327,Stephanie Bennett,Department Manager,Maintenance,2021-07-19,Full-time,47,29.0,47.0
328,Whitney Cole,Cashier,Maintenance,2019-03-02,Temporary,10,15.93,10.0
329,Hannah Dunn,Customer Service,Customer Service,2018-07-22,Seasonal,25,11.77,25.0
330,Ryan Kennedy,Sales Associate,Apparel,2020-07-10,Seasonal,50,12.97,50.0
331,Victoria Jones,Maintenance,Management,2022-12-23,Temporary,4,18.97,4.0
332,Justin Lucas,Customer Service,Pharmacy,2018-08-31,Part-time,19,13.19,19.0
333,Monique Moyer,Cashier,Apparel,2025-04-27,Seasonal,10,14.31,10.0
334,Joshua Phillips,Maintenance,Garden Center,2024-11-14,Seasonal,37,10.99,37.0
335,Nicholas Rodriguez,Sales Associate,Home Goods,2021-02-27,Temporary,11,12.74,11.0
336,Ryan Sanders,Department Manager,Home Goods,2017-06-02,Seasonal,15,29.27,15.0
337,Thomas Sutton,Sales Associate,Apparel,2017-07-13,Part-time,39,16.66,39.0
338,Selena Hernandez,Store Manager,Management,2018-12-23,Part-time,7,41.78,7.0
339,John Hamilton,Maintenance,Front End,2021-08-13,Part-time,2,19.6,2.0
340,Michael Morales,Pharmacist,Front End,2021-12-23,Seasonal,1,22.43,1.0
341,Holly Shaw,Stocker,Customer Service,2023-06-06,Temporary,37,15.21,37.0
342,Dean Williams,Sales Associate,Grocery,2021-09-01,Temporary,19,14.44,19.0
343,Alicia Guerrero,Assistant Manager,Grocery,2017-08-31,Seasonal,32,28.37,32.0
344,Mr. Timothy Harris,Sales Associate,Garden Center,2020-12-15,Part-time,47,18.04,47.0
345,Rebecca Adams,Sales Associate,Garden Center,2018-05-29,Seasonal,47,11.57,47.0
346,Mary Benjamin,Pharmacist,Management,2022-09-18,Full-time,18,26.06,18.0
347,Deborah Cook,Customer Service,Front End,2024-10-13,Seasonal,46,14.33,46.0
348,Andrew Daniel,Security,Front End,2019-07-31,Full-time,13,19.49,13.0
349,James Boyer,Department Manager,Maintenance,2018-06-11,Part-time,16,22.51,16.0
350,Christopher Hill,Store Manager,Home Goods,2025-01-21,Temporary,44,34.4,44.0
351,Edward Carter,Pharmacist,Home Goods,2024-03-24,Full-time,12,19.58,12.0
352,Sarah Salazar MD,Store Manager,Front End,2021-01-13,Temporary,34,33.69,34.0
353,Michael Meyers,Maintenance,Apparel,2022-04-02,Full-time,36,17.1,36.0
354,Kelly Johnson,Assistant Manager,Maintenance,2018-05-06,Part-time,27,22.56,27.0
355,Jason Williams,Customer Service,Customer Service,2019-04-13,Part-time,41,15.3,41.0
356,Jennifer Ryan,Store Manager,Home Goods,2023-09-20,Temporary,20,38.36,20.0
357,Kathryn Sanders,Stocker,Maintenance,2024-06-03,Temporary,41,13.57,41.0
358,Beth Gray DDS,Sales Associate,Apparel,2019-07-03,Seasonal,19,11.12,19.0
359,Danielle Jordan,Pharmacist,Garden Center,2024-05-20,Temporary,27,20.97,27.0
360,Bryan Cox,Department Manager,Customer Service,2020-01-15,Full-time,8,29.48,8.0
361,John Brown,Stocker,Electronics,2022-03-07,Temporary,23,17.74,23.0
362,Savannah Myers,Maintenance,Pharmacy,2021-09-22,Full-time,32,16.87,32.0
363,Brandon Smith,Assistant Manager,Management,2022-05-13,Temporary,19,20.58,19.0
364,Thomas Waters,Security,Garden Center,2024-02-02,Seasonal,4,12.62,4.0
365,Rachel Wagner,Stocker,Customer Service,2018-09-08,Seasonal,27,14.25,27.0
366,Jose Castro,Assistant Manager,Customer Service,2019-06-21,Seasonal,4,26.74,4.0
367,Sierra Graham,Cashier,Home Goods,2018-11-02,Part-time,41,14.48,41.0
368,Samuel Palmer,Department Manager,Management,2024-04-24,Full-time,37,20.47,37.0
369,Katherine Smith,Maintenance,Garden Center,2018-03-16,Full-time,40,11.29,40.0
370,Daniel Bailey,Cashier,Pharmacy,2017-06-13,Seasonal,47,10.9,47.0
371,Lindsay Lopez,Security,Grocery,2023-04-17,Part-time,23,16.55,23.0
372,Collin Snyder,Security,Apparel,2020-07-13,Temporary,24,19.85,24.0
373,Kristin Bean,Store Manager,Home Goods,2017-09-15,Seasonal,46,41.03,46.0
374,Ashley Smith,Stocker,Apparel,2024-10-18,Part-time,22,15.53,22.0
375,Robert Page,Cashier,Front End,2020-03-01,Full-time,1,17.55,1.0
376,Sarah Ward,Stocker,Customer Service,2020-12-26,Seasonal,33,10.42,33.0
377,Tyler Harrison,Cashier,Apparel,2022-08-10,Part-time,20,16.32,20.0
378,Jill Lee,Assistant Manager,Grocery,2018-11-11,Temporary,3,27.76,3.0
379,Christopher Mcintyre,Stocker,Electronics,2019-12-27,Seasonal,42,18.18,42.0
380,Rebecca Gibson,Sales Associate,Grocery,2020-09-07,Temporary,6,15.05,6.0
381,Richard Williams,Cashier,Management,2017-06-30,Part-time,2,16.05,2.0
382,Ricky Walsh,Maintenance,Pharmacy,2023-12-14,Seasonal,7,11.94,7.0
383,Diana May,Stocker,Management,2020-01-05,Seasonal,21,17.43,21.0
384,Julie Bowen,Pharmacist,Apparel,2019-11-11,Temporary,18,19.2,18.0
385,Richard Howard,Assistant Manager,Pharmacy,2021-02-06,Temporary,25,19.12,25.0
386,Joseph Johnson,Assistant Manager,Customer Service,2019-09-15,Part-time,36,21.41,36.0
387,Kristina Grant,Cashier,Customer Service,2019-11-03,Seasonal,25,17.28,25.0
388,John Daniels,Security,Grocery,2019-12-23,Full-time,49,14.52,49.0
389,Katelyn Chaney,Store Manager,Customer Service,2020-06-24,Full-time,26,32.4,26.0
390,Christopher Yates,Assistant Manager,Garden Center,2019-02-08,Full-time,42,19.73,42.0
391,Angela Rodgers,Security,Electronics,2021-12-26,Temporary,7,12.08,7.0
392,Randy Donovan,Store Manager,Grocery,2023-01-14,Temporary,38,27.83,38.0
393,Angelica Fischer,Maintenance,Apparel,2020-07-08,Temporary,34,10.59,34.0
394,William Chavez,Stocker,Home Goods,2018-12-28,Part-time,17,17.41,17.0
395,Elizabeth Ray,Customer Service,Maintenance,2020-09-13,Full-time,3,15.99,3.0
396,Joseph Johnson,Store Manager,Management,2019-07-08,Temporary,18,40.89,18.0
397,William Baker,Store Manager,Garden Center,2020-09-19,Temporary,21,34.23,21.0
398,Jessica Potts,Security,Grocery,2019-01-20,Temporary,33,19.21,33.0
399,Tanya Lucas,Sales Associate,Pharmacy,2018-04-28,Full-time,45,11.27,45.0
400,Sandra Baxter,Security,Grocery,2017-05-29,Temporary,11,11.66,11.0
401,Jennifer Lewis,Cashier,Pharmacy,2017-06-12,Temporary,8,14.95,8.0
402,Parker Wall,Security,Pharmacy,2020-06-25,Seasonal,9,13.99,9.0
403,Wanda Oconnor,Stocker,Home Goods,2017-06-13,Seasonal,8,17.2,8.0
404,Elizabeth Moore,Customer Service,Maintenance,2023-01-31,Part-time,34,18.9,34.0
405,Gregg Rosales,Assistant Manager,Management,2017-07-01,Seasonal,10,26.22,10.0
406,Elizabeth Stark,Maintenance,Home Goods,2022-11-25,Part-time,34,14.72,34.0
407,Alexis Calhoun,Department Manager,Electronics,2024-01-28,Temporary,22,24.29,22.0
408,David Townsend,Customer Service,Pharmacy,2025-02-15,Temporary,1,11.79,1.0
409,Alicia Cuevas,Cashier,Home Goods,2024-08-16,Part-time,5,17.01,5.0
410,Benjamin Ramos,Sales Associate,Management,2024-05-25,Full-time,45,14.59,45.0
411,Courtney Cannon,Maintenance,Customer Service,2019-11-25,Full-time,4,15.94,4.0
412,Thomas Liu,Security,Apparel,2017-06-10,Full-time,23,13.45,23.0
413,Jacqueline Mann,Assistant Manager,Home Goods,2020-05-29,Temporary,13,27.85,13.0
414,Gregory Norman,Assistant Manager,Garden Center,2017-08-28,Temporary,38,25.49,38.0
415,Leslie Winters,Security,Management,2023-04-27,Part-time,17,16.42,17.0
416,Matthew Diaz,Maintenance,Electronics,2023-02-07,Part-time,5,11.03,5.0
417,Jeremy Carter,Department Manager,Home Goods,2019-10-27,Part-time,18,24.76,18.0
418,Lauren Reyes,Maintenance,Pharmacy,2021-01-15,Seasonal,34,13.3,34.0
419,Susan Oliver,Maintenance,Customer Service,2019-02-24,Full-time,48,12.09,48.0
420,Connie Smith,Store Manager,Grocery,2022-12-19,Part-time,15,43.59,15.0
421,Andrew Sharp,Department Manager,Customer Service,2020-06-04,Seasonal,10,28.5,10.0
422,John Charles,Cashier,Electronics,2023-05-29,Temporary,5,15.12,5.0
423,Zachary Harvey,Pharmacist,Garden Center,2017-12-08,Full-time,28,21.63,28.0
424,Donna Robinson,Security,Pharmacy,2022-04-08,Temporary,16,13.77,16.0
425,Amanda Ward,Pharmacist,Garden Center,2020-04-20,Seasonal,46,21.74,46.0
426,Richard Patrick,Sales Associate,Maintenance,2024-02-06,Part-time,34,18.42,34.0
427,Matthew Wilson,Assistant Manager,Electronics,2023-09-02,Temporary,41,28.08,41.0
428,Tony Tucker,Assistant Manager,Grocery,2018-10-07,Temporary,32,24.69,32.0
429,Angela Roman,Customer Service,Electronics,2021-10-07,Seasonal,42,10.25,42.0
430,Brittany Marsh,Customer Service,Pharmacy,2018-08-17,Part-time,30,12.14,30.0
431,Scott Mcdonald,Customer Service,Electronics,2017-08-21,Full-time,25,19.33,25.0
432,Ronald Munoz,Pharmacist,Garden Center,2023-05-12,Full-time,13,24.31,13.0
433,Douglas Daniels,Assistant Manager,Garden Center,2022-06-22,Seasonal,38,19.13,38.0
434,Christine Luna,Security,Front End,2018-03-17,Full-time,17,16.07,17.0
435,Gary Hardin,Assistant Manager,Customer Service,2021-11-27,Seasonal,42,22.78,42.0
436,Steve Kramer,Cashier,Maintenance,2024-03-31,Temporary,18,18.23,18.0
437,Melissa Perkins,Pharmacist,Customer Service,2019-09-07,Full-time,39,20.09,39.0
438,Benjamin Levine,Customer Service,Front End,2017-07-14,Part-time,3,16.13,3.0
439,Stephanie Travis,Department Manager,Electronics,2025-02-07,Full-time,46,18.99,46.0
440,Joshua Jones,Pharmacist,Front End,2024-04-18,Seasonal,4,21.77,4.0
441,Angela Chase,Maintenance,Front End,2022-07-01,Seasonal,13,13.33,13.0
442,Tyler Hensley,Department Manager,Maintenance,2021-08-14,Seasonal,46,26.67,46.0
443,Mike Jones,Cashier,Pharmacy,2021-12-16,Full-time,34,14.16,34.0
444,Jason Davis,Store Manager,Management,2022-10-02,Seasonal,5,27.95,5.0
445,Ryan Cruz,Department Manager,Customer Service,2020-06-29,Part-time,6,18.53,6.0
446,Stephanie Gray,Security,Pharmacy,2017-11-28,Full-time,45,11.73,45.0
447,Angela Jones,Assistant Manager,Management,2018-06-25,Seasonal,20,22.21,20.0
448,Taylor Martin,Maintenance,Grocery,2023-08-31,Temporary,30,15.66,30.0
449,Luis Brown,Sales Associate,Grocery,2022-10-26,Full-time,6,11.83,6.0
450,Brian Andrews,Customer Service,Maintenance,2025-02-22,Full-time,12,16.27,12.0
451,Eric Smith,Department Manager,Front End,2023-03-11,Seasonal,50,20.61,50.0
452,Holly Powell,Sales Associate,Apparel,2024-01-06,Part-time,30,13.08,30.0
453,Kathryn Barnes,Department Manager,Home Goods,2019-06-19,Seasonal,48,18.64,48.0
454,Patricia Moyer,Assistant Manager,Electronics,2021-11-06,Temporary,12,24.78,12.0
455,Christian Hernandez,Store Manager,Home Goods,2017-08-25,Part-time,15,42.67,15.0
456,Alyssa Beard,Assistant Manager,Customer Service,2022-10-10,Temporary,19,21.17,19.0
457,Jeff Hall,Maintenance,Garden Center,2023-03-25,Temporary,23,13.49,23.0
458,Mr. Travis Beck,Department Manager,Front End,2021-06-17,Temporary,41,29.4,41.0
459,Gerald Foster,Security,Maintenance,2019-02-03,Temporary,10,12.11,10.0
460,Angela Moore,Assistant Manager,Apparel,2024-03-04,Seasonal,23,22.11,23.0
461,Jacob Knight,Security,Apparel,2017-09-10,Temporary,6,12.58,6.0
462,Michael Garcia,Cashier,Grocery,2021-02-12,Part-time,17,15.17,17.0
463,Cathy Crawford,Department Manager,Customer Service,2019-08-05,Seasonal,31,25.04,31.0
464,Charles Garcia,Stocker,Maintenance,2023-03-10,Seasonal,37,19.01,37.0
465,Michael Bowman,Sales Associate,Garden Center,2017-07-12,Full-time,45,18.69,45.0
466,Kelly Lang,Stocker,Customer Service,2022-09-08,Full-time,11,13.35,11.0
467,Austin Bright,Customer Service,Home Goods,2018-05-16,Part-time,12,11.63,12.0
468,Amanda Patton,Cashier,Customer Service,2021-11-01,Temporary,49,18.09,49.0
469,John Anderson,Maintenance,Pharmacy,2020-07-19,Temporary,38,17.31,38.0
470,Christopher Cruz,Assistant Manager,Garden Center,2024-02-19,Temporary,16,25.21,16.0
471,Andrew Obrien,Stocker,Home Goods,2023-07-31,Part-time,44,10.4,44.0
472,Danielle Davila,Security,Grocery,2023-04-29,Seasonal,49,14.21,49.0
473,Anthony Davis,Stocker,Maintenance,2018-08-23,Part-time,37,10.29,37.0
474,Dana Chavez,Maintenance,Management,2018-04-03,Part-time,20,11.98,20.0
475,Beth Huynh,Customer Service,Front End,2024-02-06,Seasonal,9,19.7,9.0
476,Teresa Garrett,Department Manager,Garden Center,2022-09-10,Part-time,50,23.5,50.0
477,Elizabeth Simpson,Cashier,Electronics,2018-04-06,Part-time,30,12.0,30.0
478,Tara Evans,Assistant Manager,Grocery,2018-10-06,Part-time,20,20.22,20.0
479,Jorge Gibson,Sales Associate,Apparel,2019-12-20,Seasonal,28,11.54,28.0
480,Mark Irwin II,Pharmacist,Electronics,2020-10-13,Temporary,1,22.14,1.0
481,Joshua Johnson,Stocker,Apparel,2024-01-21,Temporary,36,19.13,36.0
482,Mindy Fischer,Store Manager,Grocery,2018-04-03,Seasonal,30,32.75,30.0
483,Derek Banks,Department Manager,Pharmacy,2024-04-29,Seasonal,49,27.28,49.0
484,Joshua Jones,Stocker,Maintenance,2024-06-28,Full-time,44,13.94,44.0
485,Michael Gonzalez,Pharmacist,Maintenance,2018-10-07,Part-time,23,18.32,23.0
486,Jill Torres,Store Manager,Garden Center,2018-11-01,Full-time,50,32.25,50.0
487,Michelle Russell,Maintenance,Pharmacy,2021-02-03,Part-time,40,19.15,40.0
488,Bradley Weber,Pharmacist,Apparel,2021-06-16,Seasonal,9,18.53,9.0
489,Tony Hanson,Sales Associate,Garden Center,2022-12-23,Part-time,28,13.84,28.0
490,Jonathan Wall,Department Manager,Home Goods,2023-04-11,Temporary,28,21.73,28.0
491,Richard Richardson,Assistant Manager,Pharmacy,2020-12-04,Temporary,3,20.15,3.0
492,Charles Gonzalez,Security,Grocery,2021-04-20,Full-time,44,14.65,44.0
493,Lisa Floyd,Sales Associate,Pharmacy,2023-08-18,Full-time,23,18.04,23.0
494,Adam Hebert,Customer Service,Electronics,2023-08-24,Temporary,11,15.75,11.0
495,Alexandra Fitzpatrick,Pharmacist,Front End,2023-04-20,Temporary,44,23.83,44.0
496,Jeffrey Jensen,Cashier,Home Goods,2023-01-17,Full-time,28,14.25,28.0
497,Kim Stanley,Pharmacist,Management,2020-02-28,Temporary,39,22.47,39.0
498,Dennis Paul,Customer Service,Management,2020-04-02,Full-time,46,19.72,46.0
499,Anthony Lee,Stocker,Management,2023-03-22,Full-time,12,17.6,12.0
500,Dustin Howell,Cashier,Garden Center,2023-08-23,Seasonal,10,19.48,10.0
